Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2023-07-10,171.48199462890625,175.87193648245434,170.45310266113282,175.22029652972023,15319047
2023-07-11,173.8827362060547,175.18600210870625,171.51629034866,172.85384427584137,7486045
2023-07-12,172.8881378173828,174.74013761927947,172.27079989833751,174.2256916792816,9390877
2023-07-13,166.74905395507812,172.99099446468773,165.78875219469876,172.68233252092605,30591450
2023-07-14,164.656982421875,167.64076571394787,162.35911300976468,166.68046395362023,72085831
2023-07-17,165.30862426757812,168.01803389650718,164.07394846273718,166.33751611986594,11474161
2023-07-18,165.41151428222656,167.16062203722973,164.34832046537542,165.3086223071702,14940593
2023-07-19,166.85195922851562,168.87544092175057,164.9999595077663,165.30862147614496,22954874
2023-07-20,167.5378875732422,168.63536940908162,166.20033376631895,167.33210362360538,10249082
2023-07-21,167.4350128173828,168.94406270768602,166.13174689787917,166.85197684043752,18466409
2023-07-24,169.73287963867188,170.2130376164014,166.57761359959062,167.4007355805951,14825562
2023-07-25,172.27078247070312,172.5108544273676,170.2129989188856,170.7617328262276,10500017
2023-07-26,172.1679229736328,175.35749087156296,171.48199499365816,174.15711690660734,12898171
2023-07-27,171.96214294433594,173.81415690591828,171.27621494861822,172.8538549208653,10836773
2023-07-28,177.10658264160156,179.13007837051543,171.55056930324605,172.71665513564704,17518458
2023-07-31,182.49111938476562,183.14274529341458,177.7582141872589,179.71310586844425,24269734
2023-08-01,172.71665954589844,179.71311889799955,171.82494764865987,179.71311889799955,31395702
2023-08-02,170.48739624023438,174.08851794997176,169.14982837490234,173.47118000868312,20825405
2023-08-03,170.59027099609375,171.89353685709966,168.80686116509384,170.7960549576566,10882019
2023-08-04,169.6642608642578,170.83034665083954,169.14981494656436,170.1101167839732,7406390
2023-08-07,170.07582092285156,170.76174883777372,168.73826707084905,170.65887081472673,6345966
2023-08-08,168.88699340820312,171.5094622499454,168.292569982969,171.5094622499454,15171726
2023-08-09,168.082763671875,170.28564030370546,167.66317151052723,169.93597779794837,18442141
2023-08-10,169.09678649902344,169.69120988872632,167.87296777936328,168.22263027069476,9962450
2023-08-11,170.8450927734375,172.2087707491626,169.796105337402,171.68427703114483,23866073
2023-08-14,170.98495483398438,171.54442050002248,168.36248620156132,171.22971572744996,9188486
2023-08-16,173.4675750732422,173.8871672352576,169.97095001010732,171.05489524299685,9191471
2023-08-17,170.4254913330078,173.99206010065473,169.3765038667124,173.467566367507,15301142
2023-08-18,168.53732299804688,170.39053707159437,167.90792765996238,170.39053707159437,12292241
2023-08-21,172.8731231689453,173.2227856464131,169.02683591679983,169.44644227200325,9129526
2023-08-22,173.29273986816406,174.9361507647989,172.52347098957443,173.43259917637846,11107830
2023-08-23,174.55152893066406,174.83126179509713,172.87314597187023,174.83126179509713,8487619
2023-08-24,172.24374389648438,176.6844545612935,171.8940814153529,174.83124056573615,18982087
2023-08-25,169.23663330078125,173.01299077371448,168.8170411877447,172.1388346099708,12851343
2023-08-28,173.7822723388672,174.1319348586637,169.62129404441043,169.93598462110555,11908665
2023-08-29,175.6354522705078,176.92920049576634,173.8521680763666,174.55149297951192,12363321
2023-08-30,172.80319213867188,175.9501544107441,172.3486280760343,175.7403654626208,6748007
2023-08-31,171.01991271972656,174.55149498449495,170.32058780854845,173.32767638993326,20715819
2023-09-01,176.3697509765625,176.64948380890766,171.4744762078322,172.733266839484,13120723
2023-09-04,178.60760498046875,179.37685962256822,175.39071287763247,177.3488143095399,10240031
2023-09-05,177.8383331298828,179.72650472576424,176.92920504131655,178.53765805099474,10893186
2023-09-06,177.97821044921875,179.90135417705903,176.33479956371593,179.51671974036964,10018473
2023-09-07,179.72650146484375,180.21602320961952,176.33477850455003,177.6285267395732,13760453
2023-09-08,180.8804168701172,182.7336309941047,179.79645741236874,180.60068402026562,16781751
2023-09-11,184.97146606445312,185.32112857119122,180.14612062590663,182.06926441296616,17683806
2023-09-12,178.37449645996094,190.44950507444463,177.7684062669833,189.2839634277222,29826173
2023-09-13,180.1461181640625,181.45153337472746,178.3745005119216,180.1461181640625,10692151
2023-09-14,181.96432495117188,182.43054152980957,180.61229971868275,181.07851629732045,10941807
2023-09-15,180.98529052734375,182.94339171841176,179.21365890365186,182.89676721266693,20516593
2023-09-18,186.57989501953125,186.95286262042129,180.985295639369,182.05758816277933,25627043
2023-09-20,190.8224639892578,192.0346300920111,185.04138053128378,185.2744888499747,33369524
2023-09-21,187.9785614013672,191.66167013842298,186.85963004465887,191.1488289712322,20332556
2023-09-22,185.694091796875,189.19071678095727,183.12990014188134,186.99950699428115,21193988
2023-09-25,185.4609832763672,187.09274160061608,183.40963280001498,186.48666562844502,11951847
2023-09-26,184.94813537597656,186.53326900868316,184.24881045909407,185.64746029285905,7440011
2023-09-27,185.8805694580078,186.11367776471323,183.96907849746313,185.83394495110636,6736870
2023-09-28,187.18597412109375,190.6359742854862,184.4352988911512,186.57989820235804,50185120
